iter	RMSE
0	4357.932178
1	4316.669206
2	4273.645213
3	4234.260319
4	4193.052964
5	4152.655222
6	4114.084137
7	4077.092443
8	4041.356035
9	4007.344117
10	3974.514589
11	3942.918537
12	3912.349515
13	3882.784604
14	3851.333385
15	3822.297242
16	3794.025605
17	3767.075675
18	3741.65643
19	3715.065978
20	3691.190133
21	3665.719776
22	3642.086373
23	3619.428044
24	3598.807816
25	3577.492291
26	3557.147166
27	3537.332351
28	3518.490032
29	3499.4439
30	3480.990901
31	3463.415606
32	3444.967839
33	3427.211556
34	3409.693909
35	3394.854468
36	3379.765486
37	3365.005954
38	3352.304616
39	3338.144926
40	3324.910803
41	3313.713653
42	3303.077616
43	3290.524036
44	3278.341724
45	3265.353484
46	3254.359183
47	3244.023694
48	3232.214215
49	3222.288306
50	3212.923948
51	3204.35476
52	3195.259818
53	3186.48675
54	3177.746626
55	3167.496874
56	3159.717593
57	3151.113437
58	3142.559621
59	3134.075476
60	3126.868674
61	3119.768025
62	3115.534203
63	3108.184665
64	3101.479392
65	3095.041137
66	3088.954105
67	3083.249364
68	3076.779439
69	3070.991138
70	3065.593541
71	3059.779159
72	3054.911853
73	3049.14357
74	3045.133511
75	3041.759341
76	3039.745027
77	3034.537494
78	3030.425066
79	3025.360254
80	3022.334147
81	3019.055909
82	3014.198054
83	3010.617835
84	3007.619572
85	3003.55505
86	3000.036411
87	2995.792164
88	2991.699455
89	2989.647267
90	2986.746069
91	2984.060684
92	2980.55095
93	2977.993206
94	2974.982419
95	2971.887619
96	2969.628404
97	2967.501434
98	2965.288831
99	2962.770174
100	2959.756681
101	2957.720917
102	2955.769234
103	2954.06908
104	2951.495321
105	2949.337804
106	2947.323469
107	2945.141273
108	2943.25957
109	2941.314236
110	2939.617745
111	2937.920875
112	2936.450373
113	2934.642504
114	2933.0333
115	2931.561262
116	2929.696795
117	2928.373552
118	2926.967669
119	2925.94055
120	2924.752646
121	2923.522625
122	2922.739893
123	2921.669572
124	2920.699971
125	2919.738094
126	2918.602314
127	2917.832181
128	2916.322733
129	2915.406773
130	2914.546684
131	2913.430499
132	2912.504271
133	2911.521345
134	2910.388203
135	2908.935431
136	2908.079043
137	2906.952202
138	2905.653777
139	2904.412174
140	2903.349886
141	2903.066184
142	2902.192466
143	2901.880092
144	2901.090814
145	2900.424181
146	2898.965563
147	2897.925137
148	2896.856062
149	2896.163601
150	2895.421022
151	2894.513158
152	2893.68209
153	2893.045633
154	2892.219818
155	2891.727118
156	2890.926897
157	2890.269809
158	2889.545388
159	2888.695614
160	2888.515484
161	2887.860525
162	2887.146706
163	2886.620933
164	2885.970872
165	2885.493227
166	2885.068853
167	2884.473856
168	2884.238917
169	2883.224384
170	2882.598509
171	2882.009347
172	2881.511226
173	2880.564701
174	2880.006971
175	2879.68489
176	2879.326775
177	2878.614706
178	2878.394298
179	2877.98722
180	2877.860936
181	2877.051646
182	2876.857967
183	2876.528315
184	2876.041894
185	2875.625434
186	2875.152479
187	2874.497785
188	2873.813929
189	2873.366044
190	2872.313738
191	2872.064354
192	2871.19871
193	2871.189682
194	2870.808165
195	2870.40889
196	2870.053411
197	2869.547845
198	2869.096331
199	2868.955289
200	2868.579867
201	2868.370054
202	2867.759339
203	2867.602209
204	2867.100673
205	2867.085692
206	2866.670188
207	2866.249112
208	2865.822163
209	2865.749543
210	2865.610757
211	2865.59658
212	2865.257164
213	2864.976012
214	2864.497011
215	2864.468095
216	2864.296551
217	2863.906909
218	2863.39525
219	2862.555499
220	2862.327507
221	2862.016128
222	2861.923773
223	2861.468552
224	2860.816134
225	2860.414786
226	2860.321924
227	2860.251283
228	2859.955867
229	2859.911125
230	2859.505809
231	2859.139717
232	2858.86965
233	2858.86857
234	2858.665131
235	2858.585246
236	2858.448549
237	2858.113139
238	2857.728071
239	2857.532379
240	2857.17989
241	2856.68867
242	2856.393296
243	2856.364873
244	2856.213056
245	2855.804991
246	2855.470663
247	2855.148951
248	2854.782645
249	2854.47014
250	2854.207038
251	2853.36032
252	2853.328138
253	2853.006336
254	2852.594775
255	2852.471911
256	2852.008346
257	2851.55656
258	2851.360227
259	2851.109644
260	2850.916989
261	2850.911014
262	2850.60249
263	2850.486247
264	2850.096128
265	2849.815895
266	2849.43047
267	2849.4285
268	2849.270977
269	2848.717175
