iter	Passed	Remaining
0	33	8914
1	52	7051
2	85	7590
3	121	8104
4	143	7608
5	165	7277
6	186	7012
7	209	6850
8	230	6690
9	270	7034
10	301	7089
11	334	7187
12	353	6985
13	379	6934
14	433	7377
15	471	7481
16	518	7720
17	554	7758
18	575	7596
19	597	7464
20	631	7484
21	662	7470
22	699	7513
23	726	7449
24	753	7388
25	793	7443
26	818	7363
27	873	7550
28	904	7515
29	968	7751
30	992	7650
31	1029	7660
32	1072	7702
33	1102	7652
34	1137	7636
35	1159	7538
36	1185	7464
37	1218	7437
38	1255	7434
39	1291	7423
40	1316	7354
41	1346	7307
42	1360	7184
43	1382	7101
44	1411	7056
45	1454	7082
46	1478	7016
47	1498	6930
48	1515	6836
49	1533	6749
50	1556	6683
51	1599	6706
52	1624	6652
53	1657	6631
54	1685	6589
55	1709	6534
56	1734	6480
57	1799	6577
58	1830	6547
59	1847	6465
60	1864	6387
61	1893	6350
62	1898	6238
63	1920	6182
64	2000	6310
65	2036	6294
66	2073	6283
67	2098	6232
68	2149	6262
69	2178	6224
70	2205	6182
71	2233	6141
72	2262	6106
73	2303	6102
74	2360	6137
75	2390	6102
76	2398	6010
77	2424	5967
78	2440	5899
79	2471	5869
80	2493	5818
81	2559	5867
82	2593	5842
83	2611	5782
84	2650	5769
85	2677	5728
86	2732	5748
87	2768	5724
88	2797	5689
89	2820	5640
90	2837	5581
91	2869	5552
92	2889	5499
93	2912	5453
94	2935	5406
95	2980	5401
96	3013	5374
97	3063	5376
98	3099	5354
99	3124	5312
100	3163	5294
101	3225	5311
102	3258	5282
103	3292	5254
104	3346	5258
105	3398	5258
106	3426	5220
107	3449	5173
108	3471	5128
109	3498	5088
110	3530	5057
111	3571	5037
112	3639	5056
113	3672	5025
114	3719	5012
115	3766	5000
116	3807	4979
117	3831	4935
118	3854	4891
119	3882	4852
120	3952	4867
121	3994	4845
122	4010	4792
123	4044	4762
124	4076	4728
125	4125	4714
126	4166	4690
127	4218	4679
128	4242	4637
129	4258	4586
130	4270	4531
131	4304	4499
132	4377	4509
133	4417	4483
134	4447	4447
135	4475	4409
136	4497	4366
137	4520	4324
138	4548	4286
139	4585	4257
140	4630	4236
141	4644	4186
142	4678	4155
143	4710	4121
144	4748	4093
145	4759	4042
146	4817	4031
147	4856	4003
148	4886	3968
149	4908	3926
150	4931	3886
151	4963	3853
152	4987	3814
153	5051	3805
154	5099	3783
155	5126	3746
156	5166	3718
157	5207	3691
158	5234	3654
159	5283	3632
160	5322	3603
161	5346	3564
162	5363	3521
163	5399	3489
164	5423	3451
165	5470	3427
166	5499	3392
167	5520	3351
168	5554	3319
169	5581	3283
170	5609	3247
171	5664	3227
172	5692	3191
173	5726	3159
174	5759	3126
175	5794	3094
176	5835	3065
177	5860	3028
178	5884	2991
179	5911	2955
180	5934	2917
181	5963	2883
182	5988	2847
183	6028	2817
184	6060	2784
185	6086	2748
186	6120	2716
187	6150	2682
188	6225	2668
189	6285	2646
190	6307	2608
191	6337	2574
192	6369	2541
193	6385	2501
194	6418	2468
195	6463	2440
196	6480	2401
197	6509	2366
198	6540	2333
199	6575	2301
200	6612	2270
201	6655	2240
202	6692	2208
203	6724	2175
204	6758	2142
205	6768	2102
206	6796	2068
207	6849	2041
208	6882	2008
209	6907	1973
210	6937	1939
211	6946	1900
212	6978	1867
213	7020	1837
214	7044	1802
215	7052	1763
216	7063	1725
217	7098	1693
218	7131	1660
219	7159	1627
220	7210	1598
221	7255	1568
222	7267	1531
223	7313	1501
224	7341	1468
225	7391	1438
226	7412	1404
227	7438	1370
228	7462	1336
229	7481	1301
230	7498	1266
231	7536	1234
232	7548	1198
233	7616	1171
234	7661	1141
235	7671	1105
236	7691	1070
237	7723	1038
238	7773	1008
239	7791	973
240	7814	940
241	7835	906
242	7858	873
243	7869	838
244	7900	806
245	7930	773
246	7984	743
247	8005	710
248	8043	678
249	8076	646
250	8109	613
251	8154	582
252	8180	549
253	8219	517
254	8242	484
255	8293	453
256	8346	422
257	8372	389
258	8399	356
259	8425	324
260	8448	291
261	8459	258
262	8478	225
263	8512	193
264	8556	161
265	8588	129
266	8606	96
267	8618	64
268	8632	32
269	8661	0
