Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Product_Supermarket_Sales
DRB24,CHUKWUDI017,DRB24_CHUKWUDI017,8.785,Low Fat,0.020693619,Soft Drinks,382.91,2014,,Cluster 2,Supermarket Type1,4633.97
FDR31,CHUKWUDI019,FDR31_CHUKWUDI019,,Normal Fat,0.086077865,Fruits and Vegetables,359.53,1992,Small,Cluster 1,Grocery Store,729.05
FDP16,CHUKWUDI017,FDP16_CHUKWUDI017,18.6,Low Fat,0.039517121,Frozen Foods,609.2,2014,,Cluster 2,Supermarket Type1,14740.81
FDY16,CHUKWUDI027,FDY16_CHUKWUDI027,,Normal Fat,0.091780142,Frozen Foods,456.32,1992,Medium,Cluster 3,Supermarket Type3,16137.33
FDY48,CHUKWUDI046,FDY48_CHUKWUDI046,14.0,Low Fat,0.023734872,Baking Goods,258.08,2004,Small,Cluster 1,Supermarket Type1,4613.99
FDK45,CHUKWUDI046,FDK45_CHUKWUDI046,11.65,Ultra Low fat,0.033858187000000005,Seafood,283.47,2004,Small,Cluster 1,Supermarket Type1,6508.2
FDT37,CHUKWUDI045,FDT37_CHUKWUDI045,14.15,Low Fat,0.0,Canned,634.25,2009,,Cluster 2,Supermarket Type1,14662.58
NCM26,CHUKWUDI019,NCM26_CHUKWUDI019,,Low Fat,0.040520754,Others,384.84,1992,Small,Cluster 1,Grocery Store,382.84
FDF09,CHUKWUDI013,FDF09_CHUKWUDI013,6.215,Low Fat,0.012138795,Fruits and Vegetables,98.21,1994,High,Cluster 3,Supermarket Type1,1304.97
FDU04,CHUKWUDI019,FDU04_CHUKWUDI019,,Low Fat,0.009714595,Frozen Foods,300.1,1992,Small,Cluster 1,Grocery Store,1218.41
FDO34,CHUKWUDI017,FDO34_CHUKWUDI017,17.7,Low Fat,0.030108283,Snack Foods,414.95,2014,,Cluster 2,Supermarket Type1,10905.8
FDT25,CHUKWUDI017,FDT25_CHUKWUDI017,7.5,Low Fat,0.051038045,Canned,304.27,2014,,Cluster 2,Supermarket Type1,8881.77
NCB06,CHUKWUDI035,NCB06_CHUKWUDI035,17.6,Low Fat,0.082316506,Health and Hygiene,401.73,2011,Small,Cluster 2,Supermarket Type1,3994.8
FDZ15,CHUKWUDI046,FDZ15_CHUKWUDI046,13.1,Low Fat,0.020870744,Dairy,293.45,2004,Small,Cluster 1,Supermarket Type1,4469.18
FDU44,CHUKWUDI035,FDU44_CHUKWUDI035,12.15,Normal Fat,0.058414678,Fruits and Vegetables,408.64,2011,Small,Cluster 2,Supermarket Type1,2436.83
NCG07,CHUKWUDI046,NCG07_CHUKWUDI046,12.3,Low Fat,0.052502049,Household,477.13,2004,Small,Cluster 1,Supermarket Type1,10910.8
FDQ46,CHUKWUDI013,FDQ46_CHUKWUDI013,7.51,Low Fat,0.10372663900000001,Snack Foods,276.64,1994,High,Cluster 3,Supermarket Type1,4753.81
FDN01,CHUKWUDI046,FDN01_CHUKWUDI046,8.895,Low Fat,0.0,Breakfast,446.09,2004,Small,Cluster 1,Supermarket Type1,3087.65
DRC12,CHUKWUDI035,DRC12_CHUKWUDI035,17.85,Low Fat,0.03781972,Soft Drinks,479.05,2011,Small,Cluster 2,Supermarket Type1,6188.61
NCS53,CHUKWUDI027,NCS53_CHUKWUDI027,,Low Fat,0.08934343300000001,Health and Hygiene,393.4,1992,Medium,Cluster 3,Supermarket Type3,15053.74
DRL49,CHUKWUDI045,DRL49_CHUKWUDI045,13.15,Low Fat,0.056543464,Soft Drinks,351.45,2009,,Cluster 2,Supermarket Type1,1068.61
FDR58,CHUKWUDI049,FDR58_CHUKWUDI049,6.675,Low Fat,0.041986639000000006,Snack Foods,233.12,2006,Medium,Cluster 1,Supermarket Type1,3701.85
FDZ46,CHUKWUDI049,FDZ46_CHUKWUDI049,7.485,Low Fat,0.069231189,Snack Foods,280.31,2006,Medium,Cluster 1,Supermarket Type1,3039.38
FDX23,CHUKWUDI046,FDX23_CHUKWUDI046,6.445,Low Fat,0.029691762000000003,Baking Goods,231.61,2004,Small,Cluster 1,Supermarket Type1,2599.95
